product_title,product_price,product_reviews,product_rating,product_image_url,product_specifications,product_description,product_warranty,product_link
Restored Apple iPhone 8 64GB GSM Unlocked Smartphone (Refurbished),129.0,547,3.7,https://i5.walmartimages.com/seo/Restored-Apple-iPhone-8-64GB-GSM-Unlocked-Smartphone-Refurbished_a2c9184b-638c-4c1c-83b1-eae5d5fd8533.f5792ae311f01f731e3010419f77a14a.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,Service provider GSM Unlocked Screen size 4.7in HD capacity 64GB Ram memory 2GB Features Wireless Charging Rearcam mpx12MP,"iPhone 8 introduces an all new glass design. The world's most popular camera, now even better. The smartest, most powerful chip ever in a smartphone. Wireless charging that’s truly effortless. And augmented reality experiences never before possible. iPhone 8. A new generation of iPhone.","Warranty information Please be aware that the warranty terms on items offered for sale by third party Marketplace sellers may differ from those displayed in this section (if any). To confirm warranty terms on an item offered for sale by a third party Marketplace seller, please use the 'Contact seller' feature on the third party Marketplace seller's information page and request the item's warranty terms prior to purchase.",https://www.walmart.com/ip/Restored-Apple-iPhone-8-64GB-GSM-Unlocked-Smartphone-Refurbished/115483532?from=/search
"16"" MacBook Pro: Apple M3 Pro chip with 12?core CPU and 18?core GPU, 36GB, 512GB SSD - Silver",2644.0,3,5.0,https://i5.walmartimages.com/seo/16-MacBook-Pro-Apple-M3-Pro-chip-with-12-core-CPU-and-18-core-GPU-36GB-512GB-SSD-Silver_ed33e420-8862-45d7-91d5-581044d8db48.56482e1a19a4031911ad2eeb52f2abbe.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,"Screen size 16.2"" Processor M3Pro Ram memory 36GB HD capacity 512GB Battery life 22hours Weight 4.72 lbs","SUPERCHARGED BY M3 PRO OR M3 MAX—The Apple M3 Pro chip, with a 12-core CPU and 18-core GPU using hardware-accelerated ray tracing, delivers extraordinary performance for demanding workflows like manipulating gigapixel panoramas or compiling millions of lines of code. M3 Max, with an up to 16-core CPU and up to 40-core GPU, drives extreme performance for the most advanced workflows like rendering intricate 3D content or developing transformer models with billions of parameters.",Warranty information MacBook Pro comes with 90 days of complimentary technical support and a one-year limited warranty. 1 Year,https://www.walmart.com/ip/16-MacBook-Pro-Apple-M3-Pro-chip-with-12-core-CPU-and-18-core-GPU-36GB-512GB-SSD-Silver/5166514344?from=/search
"Straight Talk Apple iPhone 13, 128GB, Midnight - Prepaid Smartphone [Locked to Straight Talk]",449.0,332,4.0,https://i5.walmartimages.com/seo/Straight-Talk-Apple-iPhone-13-128GB-Midnight-Prepaid-Smartphone-Locked-to-Straight-Talk_f7161c65-ec39-4243-a60d-1773db232445.4668f08e8c56be046a8c3c7b636c2e3c.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,Service provider Straight Talk Screen size 6.1in HD capacity 128GB Ram memory 4GB Weight 0.8 lb Rear cam mpx12 MP,"iPhone 13. Your new superpower. The iPhone 13 on Straight Talk is an all-out standout featuring the most advanced dual-camera system ever on iPhone and lightning-fast performance with the all-new A15 bionic chip. Shoot incredible low-light photos and videos with the new 12MP Wide & Ultra Wide cameras and make movie magic with Cinematic mode. With 128GB of storage space, you'll be able to download and store your favorite apps, games, music and more! Plus, the 6.1-inch Super Retina screen boasts an XDR display that's even brighter, so it's easier to see in full sunlight. ² Add in durability, power and speed with Ceramic Shield, a leap in battery life with up to 19 hours of video playback,³ and 5G capability for superfast downloads and high-quality streaming¹. Pair it with an unlimited talk, text & data plan on America's most reliable 5G† network without a contract from Straight Talk to keep you connected for less. Find the Apple iPhone 13 and Straight Talk plans online or in-store at your local Walmart.","Warranty information Straight Talk Limited Warranty: To the extent available for purchase, refurbished iPhones and certified pre-owned phones are not covered by a limited warranty but may be returned for a refund within 30 days of purchase. See full details at www.straighttalk.com/termsWarranty urlhttps://www.straighttalk.com/terms",https://www.walmart.com/ip/Straight-Talk-Apple-iPhone-13-128GB-Midnight-Prepaid-Smartphone-Locked-to-Straight-Talk/454408250?adsRedirect=true
"Apple Watch Series 9 [GPS 45mm] Smartwatch with Midnight Aluminum Case and Midnight Sport Loop. Fitness Tracker, ECG Apps, Always-On Retina Display, Water Resistant",329.0,143,4.6,https://i5.walmartimages.com/seo/Apple-Watch-Series-9-GPS-45mm-Midnight-Aluminum-Case-with-Midnight-Sport-Loop-Fitness-Tracker-ECG-Apps-Always-On-Retina-Display-Water-Resistant_eba09acb-25c2-46d0-b1ec-8f13dff85685.ae56c72f9bf6145a5ba6aa127eeb0845.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,Screen size 45mm Battery life 18h Band material Silicone Resists water Y MobileOS watchOS Display AMOLED,"Apple Watch Series 9. It's the ultimate device for a healthy life.Smarter. Brighter. Mightier. Measure all the ways you move. Stay moving, stay motivated. Powerful sensors, advanced health features.Apple Watch Series 9 helps you stay connected, active, healthy, and safe. Featuring double tap, a magical way to interact with Apple Watch, an even-brighter display, faster on-device Siri, and Precision Finding for iPhone. Perfect for kids and adults with a beautiful AMOLED touchscreen. Comes with charging cable and connects via bluetooth to your iPhone.",Warranty information https://www.apple.com/legal/warranty/products/warranty-us.html,https://www.walmart.com/ip/Apple-Watch-Series-9-GPS-45mm-Midnight-Aluminum-Case-with-Midnight-Sport-Loop-Fitness-Tracker-ECG-Apps-Always-On-Retina-Display-Water-Resistant/5401560310?from=/search
Apple Lightning Digital AV Adapter - Lightning to HDMI adapter - HDMI / Lightning,34.0,1253,4.4,https://i5.walmartimages.com/seo/Apple-Lightning-Digital-AV-Adapter-Lightning-to-HDMI-adapter-HDMI-Lightning_ca159ab9-b257-4c56-85d9-2003179cd96a_1.55f3cd96f4ff20c5a252072d8ee316fe.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,Pieces 1 Count 1 Pack quantity 1 Type Adatper Color White,"Add some versatility to your entertainment system with the Apple Lightning Digital AV Adapter - Lightning to HDMI adapter - HDMI / Lightning. It's fast and easy to use. This Lightning to HDMI adapter can be connected to most HDMI-equipped displays which will broaden the use of your device. Use it to connect to a TV set, projector and any other compatible monitor. This Apple iPad accessory allows you to mirror what is on your device's screen on the connected display and share it with family, friends, students and others. Use it to show videos and pictures saved on your phone. You can also present slideshows or browse websites on a larger screen with the Apple Lightning digital AV adapter. It comes with an HDMI and Apple lightning input.",Warranty information Standard Manufacturer Warranty,https://www.walmart.com/ip/Apple-Lightning-Digital-AV-Adapter-Lightning-to-HDMI-adapter-HDMI-Lightning/44705398?athbdg=L1600&from=/search
"13-inch MacBook Air: Apple M3 chip with 8-core CPU and 8-core GPU, 8GB, 256GB SSD - Space Gray",1039.0,18,5.0,https://i5.walmartimages.com/seo/13-inch-MacBook-Air-Apple-M3-chip-with-8-core-CPU-and-8-core-GPU-8GB-256GB-SSD-Space-Gray_275b3639-484c-4192-a724-f22f422f30e1.005e0c6c281046ce416728250df65bcc.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,"Screen size 13.6"" ProcessorM3 Ram memory 8 GB HD capacity 256 GB Battery life 18 hours Weight 2.73lbs",Apple MacBook Air with M3 Chip (Early 2024),Warranty information MacBook Air comes with 90 days of complimentary technical support and a one-year limited warranty. 1 Year,https://www.walmart.com/ip/13-inch-MacBook-Air-Apple-M3-chip-with-8-core-CPU-and-8-core-GPU-8GB-256GB-SSD-Space-Gray/5328893490?from=/search
AirPods Pro (2nd generation) with MagSafe Case (USB‑C),189.99,5041,4.6,https://i5.walmartimages.com/seo/AirPods-Pro-2nd-generation-with-MagSafe-Case-USB-C_7e8598be-0a04-4938-98be-765f1fe80447.2f2187eed7001354fb4911fe454dc0d2.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,Features True Wireless Inputs/Outputs USB Type-C Wireless Bluetooth Color White Brand Apple Model name MTJV3LL/A,"AirPods Pro feature up to 2x more Active Noise Cancellation, Transparency mode, and now Adaptive Audio, which automatically tailors the noise control for you to provide the best listening experience across different environments and interactions throughout the day.","Warranty information 1 Year
",https://www.walmart.com/ip/AirPods-Pro-2nd-generation-with-MagSafe-Case-USB-C/5689919121?athbdg=L1102&from=/search
Apple EarPods (USB-C),19.88,226,4.5,https://i5.walmartimages.com/seo/Apple-EarPods-USB-C_e174a13f-3798-4b8b-9499-e3454708edcd.5c2735d8e9a78abe26e4f5a05acbb436.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,Features True Wireless Inputs/Outputs USB Type-C Color White Brand Apple Model name MTJY3AMA Headphone style In-Ear,"Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear. Which makes them more comfortable for more people than any other earbud-style headphones. The speakers inside the EarPods have been engineered to maximize sound output with your favorite devices, which means you get high-quality audio. The EarPods also include a built-in remote that lets you adjust the volume, control the playback of music and video, and answer or end calls with a press of the remote.",Warranty information 1 Year,https://www.walmart.com/ip/Apple-EarPods-USB-C/5055219122?athbdg=L1600&from=/search
2021 Apple 10.2-inch iPad Wi-Fi 64GB - Space Gray (9th Generation),224.0,16551,4.7,https://i5.walmartimages.com/seo/2021-Apple-10-2-inch-iPad-Wi-Fi-64GB-Space-Gray-9th-Generation_611e6938-abd6-4af7-976b-682f5bb25ea0.27993cd01177da4dd6c82b6aea862d96.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,Screen size 10.2in OS iPadOS Battery life 10h Resolution 2160 x 1620 Weight 1.87lb Data storage 64GB,"Delightfully capable. Surprisingly affordable.
iPad. More function. More fun.
Powerful. Easy to use. Versatile. iPad has a beautiful 10.2-inch Retina display,1 powerful A13 Bionic chip, and an Ultra Wide front camera with Center Stage. Work, play, create, learn, stay connected, and more. All at an incredible value.",Warranty information 1 year,https://www.walmart.com/ip/2021-Apple-10-2-inch-iPad-Wi-Fi-64GB-Space-Gray-9th-Generation/483978365?athbdg=L1102&from=/search
Apple EarPods with Lightning Connector,19.88,4387,4.5,https://i5.walmartimages.com/seo/Apple-EarPods-with-Lightning-Connector_1c4de0e5-1f7f-49ee-9c1c-9f6824c13b7e_1.6e34f5916841ec457ea093899457883b.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,Features Built-in Microphone Inputs/Outputs Bluetooth Wireless None Color White Brand Apple Model name Apple,"Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear. Which makes them more comfortable for more people than any other earbud-style headphones. The speakers inside the EarPods have been engineered to maximize sound output and minimize sound loss, which means you get high-quality audio. The EarPods with Lightning Connector also include a built-in remote that lets you adjust the volume, control the playback of music and video, and answer or end calls with a pinch of the cord.",Warranty information One-year limited Warranty url https://checkcoverage.apple.com/,https://www.walmart.com/ip/Apple-EarPods-with-Lightning-Connector/54594375?athbdg=L1600&from=/search
"Straight Talk Apple iPhone 11, 64GB, Black - Prepaid Smartphone [Locked to Straight Talk]",199.0,6764,4.3,https://i5.walmartimages.com/seo/Straight-Talk-Apple-iPhone-11-64GB-Black-Prepaid-Smartphone-Locked-to-Straight-Talk_a2824d11-c00d-44cc-8ffd-dea3fadf7765.94a3253413b144e1c435840e5273bee6.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF,Service provider Straight Talk Screen size 6.1in HD capacity 64 GB Ram memory 4 GB Weight 0.43 lb Rear cam mpx 12 MP,"Take it to 11. Capture amazing photos and videos with the Apple iPhone 11 thanks to its new dual-camera system. This Straight Talk prepaid phone lets you shoot 4K videos and gorgeous portraits with vivid colors and incredible details. Use the Ultra-Wide camera to zoom out to capture vast landscapes and interiors. And with 64GB of storage, you'll be able to download and store your favorite apps, games, music, and more. The iPhone 11 also has the fastest chip ever in a smartphone and an all-day battery life that lets you do more and charge less. Get up to 17 hours of video playback and charge your phone even quicker with its fast-charging capability. Pair it with an unlimited talk, text & data plan on the network America relies on without a contract from Straight Talk to keep you connected for less.",Warranty information Straight Talk Limited Warranty: New Apple iPhones are covered by a one-year limited warranty offered and administered by Apple. Please visit apple.com for more information and details about Straight Talk warranty at www.straighttalk.com/terms.Warranty urlhttps://www.straighttalk.com/terms,https://www.walmart.com/ip/Straight-Talk-Apple-iPhone-11-64GB-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/665592882?athbdg=L1600&from=/search
